team,player,position,age,contract_value,contract_length,transfer_fee
Leicester City,Ayoze Perez,F,26,9360000,4 yr,38080000
Leicester City,Richad Ghezzal,M,27,9360000,4 yr,12500000
Leicester City,Andy King,M,31,8320000,4 yr,-
Leicester City,Bartosz Kapustka,M,23,7800000,5 yr,4250000
Leicester City,Marc Albrighton,M,30,7020000,3 yr,-
Leicester City,Youri Tielemans,M,22,6872000,4 yr,51300000
Leicester City,Matty James,M,28,5200000,4 yr,1100000
Leicester City,Danny Ward,GK,26,4160000,4 yr,12600000
Leicester City,Fousseni Diabat�,M,24,3900000,5 yr,1800000
Leicester City,Eldin Jakupovic,GK,35,3588000,3 yr,-
Leicester City,Daniel Amartey,M,25,3276000,3 yr,5610000
Leicester City,Wes Morgan,D,36,3120000,1 yr,-
Leicester City,Christian Fuchs,D,33,2600000,1 yr,-
Leicester City,Harvey Barnes,M,22,2600000,5 yr,-
Leicester City,Hamza Choudhury,M,23,1560000,4 yr,-
Leicester City,Filip Benkovic,D,22,0,5 yr,13000000
Leicester City,James Justin,D,21,0,5 yr,-
Leicester City,Dennis Praet,M,25,0,5 yr,23940000
Liverpool F.C.,Mohamed Salah,F,27,52000000,5 yr,35700000
Liverpool F.C.,Virgil Van Dijk,D,28,51480000,6 yr,70920000
Liverpool F.C.,Roberto Firmino,F,28,46800000,5 yr,34850000
Liverpool F.C.,Jordan Henderson,M,29,36400000,5 yr,15300000
Liverpool F.C.,Alex Oxlade-Chamberlain,M,26,31200000,5 yr,34200000
Liverpool F.C.,Naby Keita,M,25,31200000,5 yr,54000000
Liverpool F.C.,Alisson Becker,GK,27,28080000,6 yr,65000000
Liverpool F.C.,Sadio Mane,F,27,26000000,5 yr,35020000
Liverpool F.C.,Fabinho Tavares,M,26,26000000,5 yr,44357250
Liverpool F.C.,James Milner,M,34,21840000,3 yr,-
Liverpool F.C.,Dejan Lovren,D,30,20800000,4 yr,21510000
Liverpool F.C.,Joel Matip,D,28,20800000,4 yr,-
Liverpool F.C.,Xherdan Shaqiri,M,28,20800000,5 yr,13230000
Liverpool F.C.,Georginio Wijnaldum,M,29,19500000,5 yr,23380000
Liverpool F.C.,Nathaniel Clyne,D,28,18200000,5 yr,15050000
Liverpool F.C.,Adam Lallana,M,31,15210000,5 yr,26350000
Liverpool F.C.,Andrew Robertson,D,25,13000000,5 yr,10000000
Liverpool F.C.,Tren Alexander-Arnold,D,21,10400000,5 yr,-
Liverpool F.C.,Joe Gomez,D,22,7280000,5 yr,4170000
Liverpool F.C.,Loris Karius,GK,26,6500000,5 yr,5720000
Liverpool F.C.,Marko Grujic,M,23,3510000,5 yr,5950000
Liverpool F.C.,Ben Woodburn,F,20,3120000,5 yr,-
Liverpool F.C.,Sheyi Ojo,M,22,2600000,5 yr,2130000
Liverpool F.C.,Rhian Brewster,F,19,2600000,5 yr,-
Liverpool F.C.,Divock Origi,F,24,2340000,1 yr,10740000
Liverpool F.C.,Taiwo Awoniyi,F,22,0,5 yr,935000
Liverpool F.C.,Adrian San Miguel del Castillo,GK,33,0,3 yr,-
Liverpool F.C.,Harry Wilson,M,22,0,5 yr,-
Liverpool F.C.,Takumi Minamino,F,25,0,5 yr,9350000
Manchester City F.C.,Kevin De Bruyne,M,28,100100000,6 yr,62900000
Manchester City F.C.,Raheem Sterling,M,25,62400000,4 yr,53130000
Manchester City F.C.,Bernardo Silva,M,25,46800000,6 yr,43800000
Manchester City F.C.,Aymeric Laporte,D,25,37440000,6 yr,58500000
Manchester City F.C.,Rodrigo Hern�ndez Cascante,M,23,31500000,5 yr,79800000
Manchester City F.C.,Riyad Mahrez,M,28,31200000,5 yr,60100000
Manchester City F.C.,John Stones,D,25,31200000,6 yr,47260000
Manchester City F.C.,Nicolas Otamendi,D,32,31200000,5 yr,37910000
Manchester City F.C.,Ilkay Gundogan,M,29,29120000,4 yr,22950000
Manchester City F.C.,Kyle Walker,D,29,28600000,5 yr,43350000
Manchester City F.C.,Benjamin Mendy,D,25,28080000,6 yr,52000000
Manchester City F.C.,David Silva,M,34,24960000,3 yr,24440000
Manchester City F.C.,Joao Cancelo,D,25,24960000,6 yr,74100000
Manchester City F.C.,Sergio Aguero,F,31,23934000,2 yr,30600000
Manchester City F.C.,Leroy Sane,M,24,23400000,5 yr,42500000
Manchester City F.C.,Gabriel Jesus,F,22,23400000,5 yr,27200000
Manchester City F.C.,Ederson Moraes,GK,26,16900000,5 yr,35000000
Manchester City F.C.,Claudio Bravo,GK,36,16640000,4 yr,15300000
Manchester City F.C.,Fernandinho Luiz Roza,M,34,15600000,2 yr,34000000
Manchester City F.C.,Marlos Moreno,F,23,11700000,5 yr,4680000
Manchester City F.C.,Jack Harrison,F,23,10608000,4 yr,3600000
Manchester City F.C.,Philippe Sandler,D,23,7904000,4 yr,2250000
Manchester City F.C.,Tosin Adarabioyo,D,22,7800000,5 yr,-
Manchester City F.C.,Oleksandr Zinchenko,M,23,5200000,5 yr,1700000
Manchester City F.C.,Phil Foden,M,,3120000,5 yr,-
Manchester City F.C.,Jose Angel Tasende,D,23,0,4 yr,13680000
Manchester City F.C.,Patrick Roberts,M,23,0,3 yr,12750000
Manchester City F.C.,Zack Steffen,GK,24,0,-,9120000
Manchester City F.C.,Ante Palaversa,M,19,0,1 yr,-
Manchester City F.C.,Arijanet Anan Muriqi,GK,21,0,5 yr,-
Manchester City F.C.,Pedro Porro,D,20,0,5 yr,13680000
Manchester City F.C.,Scott Carson,GK,34,0,1 yr,-
Manchester City F.C.,Ryotaro Meshino,M,21,0,-,1140000
Manchester United F.C.,David De Gea,GK,29,117000000,6 yr,21250000
Manchester United F.C.,Alexis Sanchez,F,31,81900000,5 yr,-
Manchester United F.C.,Anthony Martial,F,24,78000000,6 yr,51000000
Manchester United F.C.,Paul Pogba,M,26,75400000,5 yr,89250000
Manchester United F.C.,Harry Maguire,D,26,59250000,7 yr,99180000
Manchester United F.C.,Marcus Rashford,F,22,41600000,4 yr,-
Manchester United F.C.,Luke Shaw,D,24,31200000,5 yr,31880000
Manchester United F.C.,Victor Lindelof,D,25,31200000,5 yr,29750000
Manchester United F.C.,Frederico de Paula Santos,M,26,31200000,5 yr,52000000
Manchester United F.C.,Aaron Wan-Bissaka,D,22,23400000,5 yr,62700000
Manchester United F.C.,Nemanja Matic,M,31,18720000,3 yr,38000000
Manchester United F.C.,Juan Mata,M,31,16640000,2 yr,38020000
Manchester United F.C.,Phil Jones,D,27,15600000,4 yr,16410000
Manchester United F.C.,Jesse Lingard,M,27,15600000,4 yr,-
Manchester United F.C.,Sergio Romero,GK,32,14560000,4 yr,-
Manchester United F.C.,Eric Bailly,D,25,12480000,3 yr,32300000
Manchester United F.C.,Marcos Rojo,D,29,12480000,3 yr,17000000
Manchester United F.C.,Chris Smalling,D,30,10920000,3 yr,6800000
Manchester United F.C.,Matteo Darmian,D,30,9360000,4 yr,15300000
Manchester United F.C.,Diogo Dalot,D,20,6500000,5 yr,17500000
Manchester United F.C.,Andreas Pereira,M,24,6240000,4 yr,-
Manchester United F.C.,Timothy Fosu-Mensah,D,22,3120000,4 yr,-
Manchester United F.C.,Joel Castro Pereira,GK,23,3120000,4 yr,-
Manchester United F.C.,Lee Grant,GK,37,3120000,2 yr,1500000
Manchester United F.C.,Cameron Borthwick-Jackson,D,23,2080000,4 yr,-
Manchester United F.C.,Axel Tuanzebe,D,22,0,3 yr,-
Manchester United F.C.,Daniel James,F,22,0,5 yr,19380000
Manchester United F.C.,Kieran O'Hara,GK,23,0,3 yr,-
Manchester United F.C.,Bruno Fernandes,M,25,0,7 yr,60500000
Manchester United F.C.,Odion Ighalo,F,30,0,1 yr,-
Newcastle United F.C.,Jonjo Shelvey,M,27,21840000,6 yr,13600000
Newcastle United F.C.,Matt Ritchie,M,30,11700000,5 yr,10200000
Newcastle United F.C.,Yoshinori Muto,F,27,11232000,4 yr,9630000
Newcastle United F.C.,Miguel Almiron,M,26,11005000,5 yr,27360000
Newcastle United F.C.,Henri Saivet,M,29,10920000,6 yr,5100000
Newcastle United F.C.,Jamaal Lascelles,D,26,10400000,5 yr,4250000
Newcastle United F.C.,Dwight Gayle,F,30,10400000,5 yr,10200000
Newcastle United F.C.,Florian Lejeune,D,28,9880000,5 yr,8500000
Newcastle United F.C.,Ciaran Clark,D,30,9100000,5 yr,5100000
Newcastle United F.C.,Karl Darlow,GK,29,7800000,6 yr,4250000
Newcastle United F.C.,Deandre Yedlin,D,26,7800000,5 yr,5020000
Newcastle United F.C.,Paul Dummett,D,28,7280000,4 yr,-
Newcastle United F.C.,Jacob Murphy,M,24,6500000,5 yr,12000000
Newcastle United F.C.,Christian Atsu,M,28,6240000,4 yr,6380000
Newcastle United F.C.,Fabian Schar,D,28,6240000,3 yr,3600000
Newcastle United F.C.,Isaac Hayden,M,24,5720000,5 yr,2470000
Newcastle United F.C.,Javier Manquillo,D,25,5460000,3 yr,4500000
Newcastle United F.C.,Rob Elliot,GK,33,5200000,4 yr,-
Newcastle United F.C.,Federico Fernandez,D,30,4472000,2 yr,6000000
Newcastle United F.C.,Ki Sung-yueng,M,31,4160000,2 yr,-
Newcastle United F.C.,Rolando Aarons,F,24,3640000,5 yr,-
Newcastle United F.C.,Freddie Woodman,GK,22,936000,6 yr,-
Newcastle United F.C.,Jamie Sterry,D,24,416000,4 yr,-
Newcastle United F.C.,Andy Carroll,F,31,0,1 yr,-
